Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	24	FALSE
B1	L0P1-100	1	24	FALSE
C1	L0P2-100	1	24	FALSE
D1	L0P3-100	1	24	FALSE
A2	L0P4-100	1	24	FALSE
B2	L0P5-100	1	24	FALSE
C2	L1P1-200	1	24	FALSE
D2	L1P2-200	1	24	FALSE
A3	L0P1-100	2	24	FALSE
B3	L0P2-100	2	24	FALSE
C3	L0P3-100	2	24	FALSE
D3	L0P4-100	2	24	FALSE
A4	L0P5-100	2	24	FALSE
B4	L1P1-200	2	24	FALSE
C4	L1P2-200	2	24	FALSE
D4	blank_media	1	24	FALSE
A5	L0P1-100	3	24	FALSE
B5	L0P2-100	3	24	FALSE
C5	L0P3-100	3	24	FALSE
D5	L0P4-100	3	24	FALSE
A6	L0P5-100	3	24	FALSE
B6	L1P1-200	3	24	FALSE
C6	L1P2-200	3	24	FALSE
D6	blank_water	2	24	FALSE
