pdf x_grid
2.05649956823e-06 -232.10723877
2.07109322451e-06 -231.152240749
2.0857942956e-06 -230.197242728
2.10060359473e-06 -229.242244708
2.11552194021e-06 -228.287246687
2.13055015551e-06 -227.332248667
2.14568906924e-06 -226.377250646
2.16093951518e-06 -225.422252626
2.17630233227e-06 -224.467254605
2.19177836467e-06 -223.512256585
2.20736846171e-06 -222.557258564
2.22307347795e-06 -221.602260543
2.2388942732e-06 -220.647262523
2.25483171248e-06 -219.692264502
2.27088666608e-06 -218.737266482
2.28706000956e-06 -217.782268461
2.30335262376e-06 -216.827270441
2.31976539483e-06 -215.87227242
2.33629921418e-06 -214.9172744
2.3529549786e-06 -213.962276379
2.36973359016e-06 -213.007278358
2.38663595631e-06 -212.052280338
2.40366298983e-06 -211.097282317
2.42081560887e-06 -210.142284297
2.43809473697e-06 -209.187286276
2.45550130305e-06 -208.232288256
2.47303624145e-06 -207.277290235
2.49070049189e-06 -206.322292215
2.50849499955e-06 -205.367294194
2.52642071502e-06 -204.412296173
2.54447859434e-06 -203.457298153
2.56266959902e-06 -202.502300132
2.58099469603e-06 -201.547302112
2.59945485781e-06 -200.592304091
2.6180510623e-06 -199.637306071
2.63678429294e-06 -198.68230805
2.65565553867e-06 -197.72731003
2.67466579395e-06 -196.772312009
2.69381605879e-06 -195.817313988
2.7131073387e-06 -194.862315968
2.73254064478e-06 -193.907317947
2.75211699366e-06 -192.952319927
2.77183740754e-06 -191.997321906
2.79170291422e-06 -191.042323886
2.81171454705e-06 -190.087325865
2.83187334501e-06 -189.132327845
2.85218035266e-06 -188.177329824
2.87263662018e-06 -187.222331803
2.89324320337e-06 -186.267333783
2.91400116366e-06 -185.312335762
2.93491156812e-06 -184.357337742
2.95597548947e-06 -183.402339721
2.97719400607e-06 -182.447341701
2.99856820194e-06 -181.49234368
3.0200991668e-06 -180.53734566
3.04178799601e-06 -179.582347639
3.06363579063e-06 -178.627349619
3.08564365742e-06 -177.672351598
3.10781270883e-06 -176.717353577
3.13014406301e-06 -175.762355557
3.15263884384e-06 -174.807357536
3.17529818089e-06 -173.852359516
3.1981232095e-06 -172.897361495
3.22111507071e-06 -171.942363475
3.24427491131e-06 -170.987365454
3.26760388383e-06 -170.032367434
3.29110314655e-06 -169.077369413
3.31477386352e-06 -168.122371392
3.33861720454e-06 -167.167373372
3.36263434519e-06 -166.212375351
3.38682646682e-06 -165.257377331
3.41119475655e-06 -164.30237931
3.4357404073e-06 -163.34738129
