pdf x_grid
1.40155367278e-06 -99.1716918945
1.4034158059e-06 -98.4139338128
1.40518712119e-06 -97.6561757311
1.40686733534e-06 -96.8984176494
1.40845618491e-06 -96.1406595677
1.40995342653e-06 -95.3829014859
1.41135883696e-06 -94.6251434042
1.41267221325e-06 -93.8673853225
1.41389337284e-06 -93.1096272408
1.41502215366e-06 -92.3518691591
1.41605841422e-06 -91.5941110774
1.41700203372e-06 -90.8363529957
1.41785291213e-06 -90.0785949139
1.41861097028e-06 -89.3208368322
1.41927614991e-06 -88.5630787505
1.41984841375e-06 -87.8053206688
1.4203277456e-06 -87.0475625871
1.42071415035e-06 -86.2898045054
1.42100765405e-06 -85.5320464236
1.42120830395e-06 -84.7742883419
1.42131616852e-06 -84.0165302602
1.42133133752e-06 -83.2587721785
1.42125392197e-06 -82.5010140968
1.42108405419e-06 -81.7432560151
1.42082188782e-06 -80.9854979333
1.42046759781e-06 -80.2277398516
1.42002138043e-06 -79.4699817699
1.41948345322e-06 -78.7122236882
1.41885405505e-06 -77.9544656065
1.41813344601e-06 -77.1967075248
1.41732190745e-06 -76.438949443
1.41641974192e-06 -75.6811913613
1.41542727312e-06 -74.9234332796
1.41434484586e-06 -74.1656751979
1.413172826e-06 -73.4079171162
1.41191160043e-06 -72.6501590345
1.41056157693e-06 -71.8924009527
1.40912318417e-06 -71.134642871
1.40759687158e-06 -70.3768847893
1.40598310931e-06 -69.6191267076
1.4042823881e-06 -68.8613686259
1.40249521922e-06 -68.1036105442
1.40062213433e-06 -67.3458524624
1.39866368539e-06 -66.5880943807
1.39662044458e-06 -65.830336299
1.39449300413e-06 -65.0725782173
1.3922819762e-06 -64.3148201356
1.3899879928e-06 -63.5570620539
1.38761170561e-06 -62.7993039721
1.38515378582e-06 -62.0415458904
1.38261492406e-06 -61.2837878087
1.37999583018e-06 -60.526029727
1.37729723311e-06 -59.7682716453
1.37451988072e-06 -59.0105135636
1.37166453962e-06 -58.2527554818
1.36873199503e-06 -57.4949974001
1.36572305057e-06 -56.7372393184
1.36263852809e-06 -55.9794812367
1.35947926748e-06 -55.221723155
1.3562461265e-06 -54.4639650733
1.35293998055e-06 -53.7062069915
1.34956172251e-06 -52.9484489098
1.34611226253e-06 -52.1906908281
1.34259252778e-06 -51.4329327464
1.3390034623e-06 -50.6751746647
1.33534602675e-06 -49.917416583
1.33162119819e-06 -49.1596585013
1.32782996988e-06 -48.4019004195
1.32397335104e-06 -47.6441423378
1.32005236662e-06 -46.8863842561
1.31606805706e-06 -46.1286261744
1.31202147809e-06 -45.3708680927
1.30791370043e-06 -44.613110011
1.30374580962e-06 -43.8553519292
1.29951890571e-06 -43.0975938475
1.29523410306e-06 -42.3398357658
1.29089253007e-06 -41.5820776841
1.28649532891e-06 -40.8243196024
1.28204365532e-06 -40.0665615207
1.27753867828e-06 -39.3088034389
1.27298157981e-06 -38.5510453572
1.26837355467e-06 -37.7932872755
1.26371581014e-06 -37.0355291938
1.25900956571e-06 -36.2777711121
1.25425605282e-06 -35.5200130304
1.24945651462e-06 -34.7622549486
1.24461220567e-06 -34.0044968669
1.23972439169e-06 -33.2467387852
1.23479434929e-06 -32.4889807035
1.22982336567e-06 -31.7312226218
1.22481273835e-06 -30.9734645401
1.21976377494e-06 -30.2157064583
1.2146777928e-06 -29.4579483766
1.20955611881e-06 -28.7001902949
1.20440008907e-06 -27.9424322132
1.19921104865e-06 -27.1846741315
1.19399035125e-06 -26.4269160498
1.18873935901e-06 -25.669157968
1.18345944215e-06 -24.9113998863
1.17815197877e-06 -24.1536418046
1.17281835448e-06 -23.3958837229
