pdf x_grid
6.02033189033e-06 68.7654418945
6.04742487381e-06 69.7578326558
6.07439820545e-06 70.7502234171
6.10124965829e-06 71.7426141784
6.12797701956e-06 72.7350049397
6.15457809114e-06 73.727395701
6.18105068998e-06 74.7197864623
6.20739264857e-06 75.7121772236
6.23360181535e-06 76.7045679849
6.25967605516e-06 77.6969587462
6.28561324965e-06 78.6893495075
6.31141129774e-06 79.6817402688
6.33706811603e-06 80.67413103
6.3625816392e-06 81.6665217913
6.38794982047e-06 82.6589125526
6.41317063196e-06 83.6513033139
6.43824206516e-06 84.6436940752
6.46316213127e-06 85.6360848365
6.48792886166e-06 86.6284755978
6.51254030823e-06 87.6208663591
6.53699454381e-06 88.6132571204
6.56128966254e-06 89.6056478817
6.58542378029e-06 90.598038643
6.609395035e-06 91.5904294043
6.63320158704e-06 92.5828201656
6.65684161964e-06 93.5752109269
6.68031333919e-06 94.5676016881
6.70361497563e-06 95.5599924494
6.7267447828e-06 96.5523832107
6.74970103878e-06 97.544773972
6.77248204623e-06 98.5371647333
6.79508613273e-06 99.5295554946
6.81751165112e-06 100.521946256
6.83975697981e-06 101.514337017
6.8618205231e-06 102.506727778
6.88370071149e-06 103.49911854
6.905396002e-06 104.491509301
6.92690487846e-06 105.483900062
6.94822585182e-06 106.476290824
6.96935746038e-06 107.468681585
6.99029827016e-06 108.461072346
7.01104687511e-06 109.453463108
7.03160189739e-06 110.445853869
7.05196198764e-06 111.43824463
7.07212582523e-06 112.430635391
7.09209211853e-06 113.423026153
7.1118596051e-06 114.415416914
7.13142705196e-06 115.407807675
7.15079325583e-06 116.400198437
7.16995704331e-06 117.392589198
7.18891727111e-06 118.384979959
7.20767282628e-06 119.37737072
7.22622262636e-06 120.369761482
7.24456561962e-06 121.362152243
7.2627007852e-06 122.354543004
7.28062713331e-06 123.346933766
7.29834370541e-06 124.339324527
7.31584957434e-06 125.331715288
7.3331438445e-06 126.32410605
7.35022565198e-06 127.316496811
7.3670941647e-06 128.308887572
7.38374858257e-06 129.301278333
7.40018813756e-06 130.293669095
7.41641209386e-06 131.286059856
7.43241974798e-06 132.278450617
7.44821042882e-06 133.270841379
7.46378349783e-06 134.26323214
7.479138349e-06 135.255622901
7.49427440903e-06 136.248013662
7.50919113734e-06 137.240404424
7.52388802616e-06 138.232795185
7.53836460058e-06 139.225185946
7.55262041857e-06 140.217576708
7.56665507108e-06 141.209967469
7.58046818199e-06 142.20235823
7.59405940821e-06 143.194748992
7.60742843965e-06 144.187139753
7.62057499923e-06 145.179530514
7.63349884291e-06 146.171921275
7.64619975966e-06 147.164312037
7.65867757143e-06 148.156702798
7.67093213318e-06 149.149093559
7.68296333278e-06 150.141484321
7.69477109105e-06 151.133875082
7.70635536165e-06 152.126265843
7.71771613105e-06 153.118656604
7.72885341849e-06 154.111047366
7.73976727588e-06 155.103438127
7.75045778776e-06 156.095828888
7.76092507118e-06 157.08821965
7.77116927564e-06 158.080610411
7.78119058301e-06 159.073001172
7.79098920735e-06 160.065391933
7.8005653949e-06 161.057782695
7.80991942389e-06 162.050173456
7.81905160444e-06 163.042564217
7.82796227844e-06 164.034954979
7.8366518194e-06 165.02734574
7.8451206323e-06 166.019736501
7.85336915344e-06 167.012127263
7.86139785029e-06 168.004518024
7.86920722134e-06 168.996908785
7.87679779588e-06 169.989299546
7.88417013386e-06 170.981690308
7.89132482572e-06 171.974081069
7.89826249216e-06 172.96647183
7.90498378396e-06 173.958862592
7.91148938178e-06 174.951253353
7.91777999595e-06 175.943644114
7.92385636627e-06 176.936034875
7.92971926176e-06 177.928425637
7.93536948045e-06 178.920816398
7.94080784914e-06 179.913207159
7.94603522319e-06 180.905597921
7.95105248623e-06 181.897988682
7.95586054995e-06 182.890379443
7.96046035384e-06 183.882770205
7.96485286492e-06 184.875160966
7.96903907747e-06 185.867551727
7.97302001279e-06 186.859942488
7.97679671888e-06 187.85233325
7.9803702702e-06 188.844724011
7.9837417674e-06 189.837114772
7.98691233696e-06 190.829505534
7.98988313098e-06 191.821896295
7.99265532682e-06 192.814287056
7.99523012685e-06 193.806677817
7.99760875808e-06 194.799068579
7.99979247192e-06 195.79145934
8.00178254382e-06 196.783850101
8.00358027297e-06 197.776240863
8.00518698198e-06 198.768631624
8.00660401654e-06 199.761022385
8.00783274509e-06 200.753413146
8.00887455852e-06 201.745803908
8.00973086979e-06 202.738194669
8.01040311362e-06 203.73058543
8.01089274615e-06 204.722976192
8.01120124457e-06 205.715366953
8.01133010679e-06 206.707757714
8.01128085108e-06 207.700148476
8.01105501573e-06 208.692539237
8.01065415868e-06 209.684929998
8.01007985716e-06 210.677320759
8.00933370735e-06 211.669711521
8.00841732397e-06 212.662102282
8.00733233997e-06 213.654493043
8.00608040613e-06 214.646883805
8.00466319069e-06 215.639274566
8.00308237899e-06 216.631665327
8.00133967307e-06 217.624056088
7.99943679135e-06 218.61644685
7.99737546818e-06 219.608837611
7.99515745353e-06 220.601228372
7.99278451255e-06 221.593619134
7.99025842524e-06 222.586009895
7.98758098603e-06 223.578400656
7.98475400343e-06 224.570791418
7.98177929961e-06 225.563182179
7.97865871003e-06 226.55557294
7.97539408307e-06 227.547963701
7.97198727963e-06 228.540354463
7.96844017273e-06 229.532745224
7.96475464713e-06 230.525135985
7.96093259897e-06 231.517526747
7.95697593532e-06 232.509917508
7.95288657387e-06 233.502308269
7.94866644247e-06 234.49469903
7.94431747878e-06 235.487089792
7.93984162987e-06 236.479480553
7.93524085183e-06 237.471871314
7.93051710939e-06 238.464262076
7.92567237551e-06 239.456652837
7.92070863103e-06 240.449043598
7.91562786424e-06 241.44143436
7.91043207052e-06 242.433825121
7.90512325195e-06 243.426215882
7.89970341691e-06 244.418606643
7.89417457972e-06 245.410997405
7.88853876021e-06 246.403388166
7.88279798341e-06 247.395778927
7.87695427909e-06 248.388169689
7.87100968144e-06 249.38056045
7.86496622863e-06 250.372951211
7.8588259625e-06 251.365341972
7.85259092812e-06 252.357732734
7.84626317346e-06 253.350123495
7.83984474897e-06 254.342514256
7.83333770726e-06 255.334905018
7.82674410267e-06 256.327295779
7.82006599094e-06 257.31968654
7.81330542883e-06 258.312077301
7.80646447375e-06 259.304468063
7.79954518339e-06 260.296858824
7.79254961535e-06 261.289249585
7.78547982681e-06 262.281640347
7.77833787413e-06 263.274031108
7.77112581251e-06 264.266421869
7.76384569564e-06 265.258812631
7.75649957532e-06 266.251203392
7.74908950114e-06 267.243594153
7.74161752009e-06 268.235984914
7.73408567626e-06 269.228375676
7.72649601045e-06 270.220766437
7.71885055983e-06 271.213157198
7.71115135765e-06 272.20554796
7.70340043281e-06 273.197938721
7.6955998096e-06 274.190329482
7.68775150734e-06 275.182720243
7.67985754002e-06 276.175111005
7.67191991601e-06 277.167501766
7.6639406377e-06 278.159892527
7.65592170118e-06 279.152283289
7.64786509596e-06 280.14467405
7.63977280456e-06 281.137064811
7.63164680228e-06 282.129455573
7.62348905681e-06 283.121846334
7.61530152799e-06 284.114237095
7.60708616744e-06 285.106627856
7.59884491825e-06 286.099018618
7.59057971474e-06 287.091409379
7.58229248206e-06 288.08380014
7.57398513598e-06 289.076190902
7.56565958252e-06 290.068581663
7.55731771769e-06 291.060972424
7.5489614272e-06 292.053363185
7.54059258616e-06 293.045753947
7.53221305877e-06 294.038144708
7.52382469806e-06 295.030535469
7.51542934563e-06 296.022926231
7.5070288313e-06 297.015316992
7.49862497289e-06 298.007707753
7.49021957593e-06 299.000098514
7.48181443339e-06 299.992489276
7.47341132539e-06 300.984880037
7.46501201896e-06 301.977270798
7.45661826775e-06 302.96966156
7.44823181179e-06 303.962052321
7.43985437724e-06 304.954443082
7.43148767608e-06 305.946833844
7.42313340591e-06 306.939224605
7.41479324969e-06 307.931615366
7.40646887546e-06 308.924006127
7.39816193614e-06 309.916396889
7.38987406925e-06 310.90878765
7.38160689668e-06 311.901178411
7.37336202447e-06 312.893569173
7.36514104255e-06 313.885959934
7.35694552451e-06 314.878350695
7.3487770274e-06 315.870741456
7.34063709147e-06 316.863132218
7.33252723995e-06 317.855522979
7.32444897885e-06 318.84791374
7.31640379671e-06 319.840304502
7.30839316443e-06 320.832695263
7.300418535e-06 321.825086024
7.29248134332e-06 322.817476786
7.28458300601e-06 323.809867547
7.27672492115e-06 324.802258308
7.26890846815e-06 325.794649069
7.26113500749e-06 326.787039831
7.25340588054e-06 327.779430592
7.24572240937e-06 328.771821353
7.23808589658e-06 329.764212115
7.23049762507e-06 330.756602876
7.22295885786e-06 331.748993637
7.21547083796e-06 332.741384398
7.20803478811e-06 333.73377516
7.20065191066e-06 334.726165921
7.19332338737e-06 335.718556682
7.18605037924e-06 336.710947444
7.17883402636e-06 337.703338205
7.17167544771e-06 338.695728966
7.16457574101e-06 339.688119728
7.15753598257e-06 340.680510489
7.15055722713e-06 341.67290125
7.14364050768e-06 342.665292011
7.13678683533e-06 343.657682773
7.12999719917e-06 344.650073534
7.12327256608e-06 345.642464295
7.11661388064e-06 346.634855057
7.11002206494e-06 347.627245818
7.10349801847e-06 348.619636579
7.09704261799e-06 349.61202734
7.09065671738e-06 350.604418102
7.0843411475e-06 351.596808863
7.0780967161e-06 352.589199624
7.07192420766e-06 353.581590386
7.06582438331e-06 354.573981147
7.05979798067e-06 355.566371908
7.05384571374e-06 356.558762669
7.04796827283e-06 357.551153431
7.04216632442e-06 358.543544192
7.03644051105e-06 359.535934953
7.03079145122e-06 360.528325715
7.02521973932e-06 361.520716476
7.0197259455e-06 362.513107237
7.01431061561e-06 363.505497999
7.00897427105e-06 364.49788876
7.00371740878e-06 365.490279521
6.99854050116e-06 366.482670282
6.99344399589e-06 367.475061044
6.98842831594e-06 368.467451805
6.98349385951e-06 369.459842566
6.97864099989e-06 370.452233328
6.97387008546e-06 371.444624089
6.9691814396e-06 372.43701485
6.96457536063e-06 373.429405611
6.96005212177e-06 374.421796373
6.95561197108e-06 375.414187134
6.95125513141e-06 376.406577895
6.94698180036e-06 377.398968657
6.94279215026e-06 378.391359418
6.93868632808e-06 379.383750179
6.93466445548e-06 380.376140941
6.93072662869e-06 381.368531702
6.92687291858e-06 382.360922463
6.92310337054e-06 383.353313224
6.91941800457e-06 384.345703986
6.91581681517e-06 385.338094747
6.9122997714e-06 386.330485508
6.90886681684e-06 387.32287627
6.90551786962e-06 388.315267031
6.90225282238e-06 389.307657792
6.89907154232e-06 390.300048553
6.89597387121e-06 391.292439315
6.89295962537e-06 392.284830076
6.89002859573e-06 393.277220837
6.88718054785e-06 394.269611599
6.88441522192e-06 395.26200236
6.88173233284e-06 396.254393121
6.87913157023e-06 397.246783882
6.87661259847e-06 398.239174644
6.87417505676e-06 399.231565405
