Well	Sample	Rep	x_axis_cutoff
A1	blank_water	1	0
B1	L0J1-100	1	15.5
C1	L0J2-100	1	14.5
D1	L1J1-100	1	24
A2	L1J2-100	1	16
B2	L1J3-100	1	18
C2	L2J1-100	1	24
D2	L2J2-100	1	24
A3	L0J1-100	2	16
B3	L0J2-100	2	16.5
C3	L1J1-100	2	24
D3	L1J2-100	2	17
A4	L1J3-100	2	17.5
B4	L2J1-100	2	24
C4	L2J2-100	2	24
D4	blank_media	1	0
A5	L0J1-100	3	17
B5	L0J2-100	3	16
C5	L1J1-100	3	24
D5	L1J2-100	3	17
A6	L1J3-100	3	15
B6	L2J1-100	3	24
C6	L2J2-100	3	24
D6	blank_water	2	0
