line	cov_mean	cov_std	percent_below_50	resequence
L0B5-200	59.0896880073	46.0506966635	0.429601712265	True
L0C1-200	19.1229582445	8.47747247707	0.991762195425	True
L0C2-200	54.8269178751	22.0445278618	0.441193202899	True
L0C3-200	12.405472492	5.05255669661	0.996833799194	True
L0C4-200	38.1690956007	14.9475177643	0.894259071459	True
L0C5-200	12.8513486122	6.16972006054	0.995302363731	True
L0D1-200	49.149573243	63.6979043778	0.777259990253	True
L0D2-200	91.6813854631	108.159450956	0.0673082780045	False
L0D3-200	84.0533183243	60.0424857969	0.054425290857	False
L0D4-200	50.7479839319	28.2523867595	0.594066944842	True
L0D5-200	20.41438476	19.8812071315	0.980773918342	True
L0F1-200	40.8237477347	10.2541201849	0.852851850085	True
L0F2-200	75.045761073	16.0817723926	0.0240900634451	False
L0F3-200	353.317341466	71.9188196998	0.000190782047409	False
L0F4-200	61.6065471602	14.2213640325	0.171842452575	False
L0F5-200	1.0880512091	0.238406367867	1.00142247511	True
L0J1-200	13.9514600201	6.81525923068	0.998747899437	True
L0J2-200	46.3734609991	24.2198850027	0.676383879309	True
L0J3-200	31.1664537603	15.7046559295	0.951278165766	True
L0J4-200	26.875076952	14.0791682576	0.975375137949	True
L0J5-200	18.8764462929	9.91189202564	0.996228031164	True
L0P1-200	15.1761293224	6.29976757224	0.998308442548	True
L0P2-200	19.5713513127	7.99383180975	0.99708224424	True
L0P3-200	17.8149926592	6.99905774353	0.998069879481	True
L0P4-200	18.6689028104	7.39558949715	0.997699047619	True
L0P5-200	22.334800848	8.61830271185	0.995896968315	True
L1B1-200	59.6007642194	46.4633995344	0.395728643216	True
L1B2-200	164.362237416	116.159384168	0.000139586823004	False
L1B3-200	90.0554991565	76.6159732777	0.0593941931882	False
L1B4-200	63.0713795555	50.3767944261	0.461032011911	True
L1B5-200	56.1035377106	40.4782686768	0.559370928718	True
L1C1-200	1.11599315068	0.249661496765	1.00342465753	True
L1C2-200	26.0655053848	9.87142713444	0.989370156964	True
L1C3-200	36.6712522721	14.7467288578	0.934606596463	True
L1C4-200	16.4282807802	7.57853096617	0.992845786963	True
L1C5-200	28.7309530932	12.4335605016	0.982018676734	True
L1D1-200	65.4994254446	84.4591835101	0.535755619175	True
L1D2-200	60.9732224294	46.6333232109	0.405555217153	True
L1D3-200	85.2909939136	67.149467865	0.0746482304928	False
L1D4-200	85.0665213703	64.6696471154	0.0719680818664	False
L1D5-200	44.5515172421	33.5383192408	0.80316135713	True
L1F1-200	100.310328802	29.4967328997	0.00416607037797	False
L1F2-200	52.5245160309	17.8832728031	0.494935843417	True
L1F3-200	47.1877196915	28.9786845479	0.723439437784	True
L1F4-200	51.1728863785	18.5966280311	0.564261977071	True
L1J1-200	12.7704711449	7.1057392635	0.997989817271	True
L1J2-200	7.73770029057	9.46857804504	0.990802924538	True
L1J3-200	92.2959726956	113.377274939	0.0506422924901	False
L1J4-200	16.7301124668	20.6473645472	0.991681354704	True
L1J5-200	69.1044794243	27.4444963434	0.0855924108172	False
L1P1-200	8.31827767736	3.76004616024	0.999147160501	True
L1P2-200	17.7021211259	7.13336531071	0.996960717271	True
L1P3-200	4.22660568142	2.17048692583	1.00001579929	True
L1P4-200	6.50946857797	3.12231012824	0.99958737048	True
L1P5-200	13.2629710751	6.30662499296	0.997947985225	True
L2B1-200	54.8118256413	34.6415959801	0.501698306347	True
L2B2-200	71.1206589373	43.319804682	0.130769588684	False
L2B3-200	35.0446015222	24.9871577298	0.966149407905	True
L2B4-200	47.7304309616	29.0943768966	0.711032011911	True
L2B5-200	140.317955468	83.9238922445	0.000162851293505	False
L2C1-200	29.6271334101	27.8475688174	0.938136934798	True
L2C2-200	21.8485525016	11.6370552393	0.984886338338	True
L2C3-200	37.7999823179	23.8461170671	0.894800633224	True
L2C4-200	55.775411409	36.213786821	0.488534890049	True
L2C5-200	70.4672469718	28.4847727087	0.147394197235	False
L2D1-200	77.0784417445	95.8651271109	0.279527319242	True
L2D2-200	81.5659468905	132.769894067	0.36700880212	True
L2D3-200	92.2557863679	88.4019637225	0.0567399646708	False
L2D4-200	30.6451922314	36.4041586928	0.948953796485	True
L2D5-200	68.3290402698	63.3524970986	0.321496010233	True
L2F1-200	34.2324693215	10.2034250405	0.9295891108	True
L2F4-200	52.0793358721	15.7057379	0.485760625865	True
L2J1-200	23.7347910586	33.6082338055	0.920529255714	True
L2J2-200	20.0020675318	17.9249795677	0.970826606925	True
L2J3-200	30.1180122472	42.4516570171	0.893095951777	True
L2J4-200	17.5426353587	23.4969931925	0.959047462096	True
L2J5-200	32.6626682072	47.8004318223	0.885464876884	True
L2P1-200	45.6525916766	17.6295106902	0.704083028157	True
L2P2-200	30.8602186077	11.8884941728	0.972586919523	True
L2P3-200	199.598727732	75.2176051215	0.00124585979519	False
L2P4-200	21.6910748387	9.15559085535	0.99478739248	True
L2P5-200	33.1338674809	13.5228331267	0.945767296266	True
L0B1-300	201.342875509	163.557129484	4.65300234977e-05	False
L0B3-300	275.787407071	212.315820424	2.32644705007e-05	False
L0B4-300	279.989362547	226.411462657	2.32644705007e-05	False
L0B5-300	286.772406583	225.678174963	2.32644705007e-05	False
L0C1-300	177.653381435	94.7917505759	0.000917749776764	False
L0C2-300	68.7075974579	31.7729800449	0.142274110168	False
L0C3-300	102.44547301	48.2405776586	0.00967127556952	False
L0C4-300	296.950981701	114.787028867	0.000469959682406	False
L0C5-300	121.713555883	46.3564153456	0.00301763585545	False
L0D1-300	286.426766719	306.532768046	0.000731239145669	False
L0D2-300	220.139297785	249.818031041	0.000883230797344	False
L0D3-300	244.537980913	230.340313741	0.000609143240033	False
L0D4-300	210.929072093	136.466190459	0.000670016750419	False
L0D5-300	258.584894269	279.465876531	0.00243649875129	False
L0F2-300	112.91101936	25.0277179867	0.00111314303888	False
L0F3-300	87.3760170248	20.9078034777	0.00672699225521	False
L0F4-300	63.2285618127	16.4142359284	0.180553125845	False
L0F5-300	84.6140053081	18.8570970038	0.00844438790115	False
L0J1-300	64.3845385028	34.2442381449	0.251259922922	True
L0J2-300	88.8879669725	38.0332577921	0.0110829326131	False
L0J3-300	28.6363634171	16.1566833388	0.971985243256	True
L0J4-300	21.152388852	12.9608362589	0.993675056002	True
L0J5-300	53.1425444085	27.9043074062	0.498970600346	True
L0P1-300	44.1870234168	15.880902158	0.742351292053	True
L0P2-300	65.4438815941	24.8107363084	0.1575507971	False
L0P3-300	29.9475296354	11.3666431023	0.976123894343	True
L0P4-300	96.3614145601	30.2794030979	0.0106779996649	False
L0P5-300	57.2958497221	20.3139833494	0.315949428641	True
L1B1-300	324.530478506	248.309465009	2.32644705007e-05	False
L1B2-300	30.8734234498	21.0353593055	0.925600223339	True
L1B3-300	268.310597194	226.77712189	2.32644705007e-05	False
L1B4-300	187.369626649	149.077276972	4.65289410013e-05	False
L1B5-300	127.405037483	82.6286655802	0.00037223152801	False
L1C1-300	126.222434573	69.331470302	0.00395827628271	False
L1C2-300	194.093469138	103.812114884	0.000670574210213	False
L1C3-300	130.439617688	46.1721102936	0.00183745934	False
L1C4-300	269.620908151	92.0213828543	0.000943817992151	False
L1C5-300	363.406381152	181.556980658	0.0023623026234	False
L1D1-300	81.3799350599	106.204986851	0.215514878324	True
L1D2-300	150.048686782	124.836667025	0.00216259023484	False
L1D3-300	168.205147607	176.835947526	0.00462962962963	False
L1D4-300	138.796091673	106.533467587	0.00249733516065	False
L1D5-300	198.299784137	216.651359358	0.00246703012213	False
L1F2-300	74.5048904808	25.0693123594	0.0376206452434	False
L1F3-300	57.0663370886	16.2728042961	0.300699634282	True
L1F4-300	76.2857696874	28.3550842432	0.0589123867069	False
L1J1-300	51.8357835144	26.5819603207	0.533391524893	True
L1J2-300	32.6204731718	34.8801844007	0.955023056653	True
L1J5-300	125.493661565	57.0415713196	0.0027666617262	False
