Line Time1 Time2 Distance
L0P2	100	200	0.369988043202957
L0P2	200	300	0.611816015361677
L0P3	100	200	0.37225796928403
L0P3	200	300	0.392424814154255
L0P4	100	200	0.713956958095163
L0P4	200	300	0.67932813815994
L0P5	100	200	0.756400848254216
L0P5	200	300	0.283861875301957
L1P1	100	200	0.763819858219755
L1P1	200	300	0.835391515668952
L1P2	100	200	0.737667667129845
L1P2	200	300	0.633125153101817
L1P4	100	200	0.64778024899186
L1P4	200	300	0.622551825161657
L1P5	100	200	0.709683032485486
L1P5	200	300	0.60798352457322
L2P1	100	200	0.764206503441261
L2P1	200	300	0.603398362319831
L2P2	100	200	0.859245276736885
L2P2	200	300	0.659827729626118
L2P3	100	200	0.77932995226266
L2P3	200	300	0.617872442803253
L2P4	100	200	0.807897851395815
L2P4	200	300	0.831802140375507
L2P5	100	200	0.849659362751732
L2P5	200	300	0.443444004324966
