Line	Time1	Time2	Distance
L0C1	100	200	0.478005462882226
L0C1	200	300	0.617685416562621
L0C2	100	200	0.743879877132191
L0C2	200	300	0.161299667528016
L0C3	100	200	0.658388052638758
L0C3	200	300	0.32428228522647
L0C4	100	200	0.645595527690907
L0C4	200	300	0.738711481214371
L0C5	100	200	0.506637593737381
L0C5	200	300	0.293584157328725
L1C2	100	200	0.696966104944815
L1C2	200	300	0.54888247780944
L1C3	100	200	0.879156056007436
L1C3	200	300	0.601806877445282
L1C4	100	200	9.93309766626548e-15
L1C4	200	300	0.579728490503758
L1C5	100	200	0.778666952542241
L1C5	200	300	0.190292627453475
L2C1	200	300	0.792681225699146
L2C2	100	200	0.404130713949552
L2C2	200	300	0.648034600724171
L2C3	100	200	0.63257164006622
L2C3	200	300	0.602293159284316
L2C4	100	200	0.721208089298458
L2C4	200	300	0.420688265873558
L2C5	100	200	0.620571357709104
L2C5	200	300	0.629939804840511
