Line Time1 Time2 Distance
L0B1	100	200	0.110314340579211
L0B1	200	300	0.492373063248588
L0B2	100	200	0.553587687105706
L0B3	100	200	0.84275958703366
L0B3	200	300	0.147394829366478
L0B4	100	200	0.0772198991717419
L0B4	200	300	0.127697521289833
L0B5	100	200	0.125371769067141
L0B5	200	300	0.271580780752014
L1B1	100	200	0.206486779581658
L1B1	200	300	0.263952545445877
L1B2	100	200	0.259433810250077
L1B2	200	300	0.280276549391433
L1B3	100	200	0.51777120224689
L1B3	200	300	0.319549093256545
L1B4	100	200	0.740895943708883
L1B4	200	300	0.153064461743575
L1B5	100	200	0.306531922692054
L1B5	200	300	0.447168869435904
L2B1	100	200	0.674707542164814
L2B1	200	300	0.581789830099843
L2B2	100	200	0.78618875682864
L2B2	200	300	0.323908823284189
L2B3	200	300	0.105413027477112
L2B4	100	200	0.439120936845846
L2B4	200	300	0.328543221396756
L2B5	100	200	0.652387312951683
L2B5	200	300	0.209706522464007
