Line Time1 Time2 Distance
L0D1	200	300	0.262070920155502
L0D2	100	200	0.579230950091146
L0D2	200	300	0.342485570831111
L0D3	100	200	0.225531554382118
L0D3	200	300	0.202798503946671
L0D4	100	200	0.715261466051612
L0D4	200	300	0.178397425725776
L0D5	100	200	0.696103823238968
L0D5	200	300	0.183364928665711
L1D1	100	200	0.0793460568599762
L1D1	200	300	0.00565283113669248
L1D2	100	200	0.413709668154813
L1D2	200	300	0.590897786135292
L1D3	100	200	0.0662224443336767
L1D3	200	300	0.758612216719629
L1D4	100	200	0.579506897943825
L1D4	200	300	0.382309931738837
L1D5	100	200	0.237494683714972
L1D5	200	300	0.557257625301844
L2D1	100	200	0.510344443644852
L2D1	200	300	0.606002091059512
L2D2	100	200	0.772513128728855
L2D2	200	300	0.363272199143122
L2D3	100	200	0.75151757629272
L2D3	200	300	0.0934787366491504
L2D4	100	200	0.674330970342074
L2D4	200	300	0.651993156720023
L2D5	100	200	0.725845191280601
L2D5	200	300	0.0967254617858698
