Sample	Rep	b0	A	umax	L	z	umax_lw	umax_up	umax_lw_FI	umax_up_FI	TransferTime	Strain	Replicate	Day
L1J2-200	1	0.0595208080284	0.615452839591	0.0779306976286	5.70820129171	-4.65876035181	0.0752871873594	0.0805742078978	0.0752871387833	0.0805742564738	10	J	2	200
L0J1-100	2	0.058040284067	0.587146380914	0.0849006801412	4.20572452068	-4.29244613433	0.0809730576803	0.0888283026022	0.080972985508	0.0888283747745	1	J	1	100
L1J3-200	2	0.0607772483563	0.688195491579	0.0846593701808	4.63020339792	-3.90770976911	0.0799590388716	0.0893597014901	0.0799589525003	0.0893597878613	10	J	3	200
L0J1-100	3	-0.0459239131988	0.75768	0.0733023881027	1.62764128535	-2.6363036673	0.0685308188792	0.0780739573262	0.0685307311989	0.0780740450065	1	J	1	100
L1J3-200	3	0.0604765831393	0.638123082538	0.0848824489299	4.52929676093	-4.00707151007	0.079588607538	0.0901762903219	0.0795885102606	0.0901763875993	10	J	3	200
L0J1-100	1	0.0275156275551	0.66792	0.0626848954176	2.86589396305	-2.94865232713	0.0527581726104	0.0726116182247	0.0527579902012	0.0726118006339	1	J	1	100
L1J3-200	1	0.0692384626123	0.584956575088	0.0991994227537	4.93149637772	-3.64417849632	0.0907006114041	0.107698234103	0.0907004552336	0.107698390274	10	J	3	200
L0J2-100	2	0.0555619154657	0.818641094483	0.102177348024	3.9732892302	-4.36597205693	0.0989580607479	0.1053966353	0.0989580015917	0.105396694457	1	J	2	100
L2J1-100	2	0.0630717719308	0.92657079791	0.112918378394	4.51613184639	-3.69366622523	0.10818099816	0.117655758629	0.108180911107	0.117655845681	100	J	1	100
L0J2-100	3	0.0621852837558	0.740525968759	0.11622842487	4.20635565441	-3.79693095455	0.109478218764	0.122978630977	0.109478094725	0.122978755016	1	J	2	100
L2J1-100	3	0.0596142977887	0.886081114479	0.100696321334	4.39538128273	-3.8451231869	0.0969196915967	0.104472951071	0.0969196221989	0.104473020468	100	J	1	100
L0J2-100	1	0.0637372891274	0.605075604713	0.10065898173	4.32949612597	-3.58628557882	0.0914938129298	0.10982415053	0.0914936445146	0.109824318945	1	J	2	100
L2J1-100	1	0.0582153278526	0.904049262705	0.0999047961963	4.48815903288	-3.81002847952	0.0961160351091	0.103693557283	0.0961159654885	0.103693626904	100	J	1	100
L1J1-200	2	0.0387559736462	1.11221397269	0.0924419637179	3.84913802772	-4.15577858575	0.0903099382245	0.0945739892114	0.0903098990473	0.0945740283886	10	J	1	200
L1J1-200	3	0.0353794433664	1.12551430957	0.095761367023	3.86585277846	-4.06480962352	0.0933785087301	0.0981442253159	0.0933784649437	0.0981442691022	10	J	1	200
L1J1-200	1	0.0598911212618	0.876079144919	0.11010032313	4.6462773214	-4.17142692055	0.106936974835	0.113263671426	0.106936916707	0.113263729554	10	J	1	200
L1J2-200	2	0.0593542736934	0.660087005254	0.0832487661784	5.65338252302	-3.84604924702	0.077540312523	0.0889572198338	0.0775402076269	0.0889573247299	10	J	2	200
L1J2-200	3	0.060462287331	0.625579868971	0.0800896123437	5.54363966082	-3.87216116148	0.0745285183428	0.0856507063447	0.0745284161545	0.085650808533	10	J	2	200
L0B4-100	1	0.0496102386091	0.832519679919	0.0845902564086	6.93800267796	-4.64598789479	0.0828922340306	0.0862882787867	0.0828922028284	0.0862883099888	1	B	4	100
L0B1-100	2	0.0536654997702	0.779175393382	0.0912675083124	5.89583150252	-4.65007411369	0.0893874441678	0.0931475724571	0.0893874096205	0.0931476070044	1	B	1	100
L0B5-100	2	0.0478545265499	0.828506599313	0.066232587638	5.99571159457	-4.78628624093	0.0651113179635	0.0673538573125	0.0651112973595	0.0673538779164	1	B	5	100
L0B1-100	3	0.0533624729096	0.774921149064	0.0820221181211	5.84422194168	-4.74315294586	0.0804539556324	0.0835902806098	0.0804539268165	0.0835903094257	1	B	1	100
L0B5-100	3	0.0490117953559	0.848926664971	0.0692357021	6.11968633908	-4.55751611839	0.0677914588696	0.0706799453304	0.0677914323308	0.0706799718692	1	B	5	100
L0B1-100	1	0.0561453616634	0.782475386936	0.088158471006	6.40172175978	-3.80694352944	0.0840581890397	0.0922587529724	0.0840581136946	0.0922588283174	1	B	1	100
L0B5-100	1	0.0418572580778	0.881820128151	0.0679353073177	5.90963312795	-5.06588332979	0.0671261594654	0.06874445517	0.0671261445968	0.0687444700385	1	B	5	100
L0B2-100	2	0.0501262929899	0.746458501429	0.076872445118	5.94177984941	-4.92533200615	0.0756106657242	0.0781342245118	0.0756106425383	0.0781342476977	1	B	2	100
L1B1-200	2	0.0482819219886	0.516759544317	0.07773860832	7.45585972695	-4.39572947354	0.0742097599666	0.0812674566735	0.074209695122	0.0812675215181	10	B	1	200
L0B2-100	3	0.0494144104583	0.765100367622	0.0744394826921	6.06420729341	-4.87163055141	0.0731940220791	0.0756849433051	0.0731939991931	0.0756849661911	1	B	2	100
L1B1-200	3	0.0486139087067	0.48198833672	0.0717318141831	7.75223702603	-4.65740033158	0.0690231480782	0.0744404802879	0.0690230983049	0.0744405300612	10	B	1	200
L0B2-100	1	0.0517644457565	0.79364381146	0.0758786010253	7.23845490449	-4.67585717591	0.0743139389323	0.0774432631183	0.0743139101807	0.0774432918698	1	B	2	100
L1B1-200	1	0.0484597580336	0.489424695451	0.0836037069699	8.17236989432	-4.61501054982	0.0803031439166	0.0869042700231	0.0803030832669	0.0869043306729	10	B	1	200
L0B3-100	2	0.0491202678956	0.67674595355	0.0751228584458	6.82834495844	-4.77051521557	0.0735086975215	0.07673701937	0.0735086678604	0.0767370490312	1	B	3	100
L1B2-200	2	0.0492957944538	0.57003579357	0.0697355810746	6.54652582847	-4.33375035706	0.0666862986072	0.072784863542	0.0666862425749	0.0727849195743	10	B	2	200
L0B3-100	3	0.0491756220279	0.664780613822	0.076242802628	6.34834976523	-4.48963680078	0.074079671832	0.078405933424	0.0740796320833	0.0784059731728	1	B	3	100
L1B2-200	3	0.0466346048326	0.596188296549	0.0712165593568	6.5196241175	-4.45056682458	0.0685561830209	0.0738769356927	0.068556134135	0.0738769845786	10	B	2	200
L0B3-100	1	0.0505240365441	0.702018242774	0.0789882461063	7.07342328599	-4.09440590816	0.0758176537029	0.0821588385096	0.0758175954415	0.0821588967711	1	B	3	100
L1B2-200	1	0.0497994342565	0.624453933042	0.0704853667894	6.6718200745	-4.34832734237	0.0676526810748	0.073318052504	0.0676526290226	0.0733181045562	10	B	2	200
L0B4-100	2	0.0457747412134	0.867538420142	0.0778785129932	6.72715576221	-4.36018484295	0.0758614922125	0.0798955337738	0.0758614551486	0.0798955708377	1	B	4	100
L0B4-100	3	0.0521933115361	0.821696017439	0.0841378563437	7.24869257215	-4.68420908386	0.0824976329199	0.0857780797674	0.0824976027799	0.0857781099074	1	B	4	100
L2J2-100	1	0.0472698554161	0.599916671845	0.0757583100961	13.6468336237	-4.54472813143	0.0728550721683	0.0786615480239	0.0728550188196	0.0786616013726	100	J	2	100
