Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	0	FALSE
B1	L0J1-100	1	21	TRUE
C1	L0J2-100	1	16	TRUE
D1	L1J1-200	1	24	TRUE
A2	L1J2-200	1	17	TRUE
B2	L1J3-200	1	18	TRUE
C2	L2J1-100	1	24	TRUE
D2	L2J2-100	1	24	FALSE
A3	L0J1-100	2	17	TRUE
B3	L0J2-100	2	16	TRUE
C3	L1J1-200	2	24	TRUE
D3	L1J2-200	2	17	TRUE
A4	L1J3-200	2	18	TRUE
B4	L2J1-100	2	24	TRUE
C4	L2J2-100	2	24	FALSE
D4	blank_media	1	0	FALSE
A5	L0J1-100	3	21	TRUE
B5	L0J2-100	3	17	TRUE
C5	L1J1-200	3	24	TRUE
D5	L1J2-200	3	17	TRUE
A6	L1J3-200	3	15	TRUE
B6	L2J1-100	3	24	TRUE
C6	L2J2-100	3	24	FALSE
D6	blank_water	2	0	FALSE
