Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	48	FALSE
B1	L0S1-100	1	28	TRUE
C1	L0S2-100	1	31	TRUE
D1	L0S3-100	1	29	TRUE
A2	L0S4-100	1	28	TRUE
B2	L0S5-100	1	31	TRUE
C2	L1S3-100	1	36	TRUE
D2	L1S4-100	1	48	TRUE
A3	L0S1-100	2	32	TRUE
B3	L0S2-100	2	32	TRUE
C3	L0S3-100	2	31	TRUE
D3	L0S4-100	2	26	TRUE
A4	L0S5-100	2	32	TRUE
B4	L1S3-100	2	40	TRUE
C4	L1S4-100	2	48	TRUE
D4	blank_media	1	48	FALSE
A5	L0S1-100	3	33	TRUE
B5	L0S2-100	3	33	TRUE
C5	L0S3-100	3	31	TRUE
D5	L0S4-100	3	29	TRUE
A6	L0S5-100	3	30	TRUE
B6	L1S3-100	3	40	TRUE
C6	L1S4-100	3	48	TRUE
D6	blank_water	2	48	FALSE
