Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	34	FALSE
B1	L2B1-100	1	14	TRUE
C1	L2B2-100	1	12	TRUE
D1	L2J1-100	1	16	TRUE
A2	L2J2-100	1	25	TRUE
B2	L2J3-100	1	21	TRUE
C2	L2J4-200	1	24	TRUE
D2	L2J5-200	1	21	TRUE
A3	L2B1-100	2	12	TRUE
B3	L2B2-100	2	11	TRUE
C3	L2J1-100	2	16	TRUE
D3	L2J2-100	2	27	TRUE
A4	L2J3-100	2	21	TRUE
B4	L2J4-200	2	25	TRUE
C4	L2J5-200	2	21	TRUE
D4	blank_media	1	34	FALSE
A5	L2B1-100	3	11	TRUE
B5	L2B2-100	3	10	TRUE
C5	L2J1-100	3	16	TRUE
D5	L2J2-100	3	30	TRUE
A6	L2J3-100	3	22	TRUE
B6	L2J4-200	3	25	TRUE
C6	L2J5-200	3	21	TRUE
D6	blank_water	2	34	FALSE
