Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	34	FALSE
B1	L0P1-100	1	34	TRUE
C1	L0P2-100	1	34	TRUE
D1	L0P3-100	1	34	TRUE
A2	L0P4-100	1	34	TRUE
B2	L0P5-100	1	34	TRUE
C2	L1P1-200	1	34	TRUE
D2	L1P2-200	1	34	TRUE
A3	L0P1-100	2	34	TRUE
B3	L0P2-100	2	34	TRUE
C3	L0P3-100	2	34	TRUE
D3	L0P4-100	2	34	TRUE
A4	L0P5-100	2	34	TRUE
B4	L1P1-200	2	34	TRUE
C4	L1P2-200	2	34	TRUE
D4	blank_media	1	34	FALSE
A5	L0P1-100	3	34	TRUE
B5	L0P2-100	3	34	TRUE
C5	L0P3-100	3	34	TRUE
D5	L0P4-100	3	34	TRUE
A6	L0P5-100	3	34	TRUE
B6	L1P1-200	3	34	TRUE
C6	L1P2-200	3	34	TRUE
D6	blank_water	2	34	FALSE
