Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	24	FALSE
B1	L0B1-100	1	24	TRUE
C1	L0B2-100	1	24	TRUE
D1	L0B3-100	1	24	TRUE
A2	L0B4-100	1	24	TRUE
B2	L0B5-100	1	24	TRUE
C2	L1B1-200	1	24	TRUE
D2	L1B2-200	1	20	TRUE
A3	L0B1-100	2	24	TRUE
B3	L0B2-100	2	24	TRUE
C3	L0B3-100	2	24	TRUE
D3	L0B4-100	2	24	TRUE
A4	L0B5-100	2	24	TRUE
B4	L1B1-200	2	24	TRUE
C4	L1B2-200	2	20	TRUE
D4	blank_media	1	24	FALSE
A5	L0B1-100	3	24	TRUE
B5	L0B2-100	3	24	TRUE
C5	L0B3-100	3	24	TRUE
D5	L0B4-100	3	24	TRUE
A6	L0B5-100	3	24	TRUE
B6	L1B1-200	3	24	TRUE
C6	L1B2-200	3	20	TRUE
D6	blank_water	2	24	FALSE
