Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	34	FALSE
B1	L0D1-100	1	34	FALSE
C1	L0D2-100	1	34	FALSE
D1	L0D3-100	1	34	FALSE
A2	L0D4-100	1	34	FALSE
B2	L0D5-100	1	34	FALSE
C2	L1D1-100	1	34	FALSE
D2	L1D2-100	1	34	FALSE
A3	L0D1-100	2	34	FALSE
B3	L0D2-100	2	34	FALSE
C3	L0D3-100	2	34	FALSE
D3	L0D4-100	2	34	FALSE
A4	L0D5-100	2	34	FALSE
B4	L1D1-100	2	34	FALSE
C4	L1D2-100	2	34	FALSE
D4	blank_media	1	34	FALSE
A5	L0D1-100	3	34	FALSE
B5	L0D2-100	3	34	FALSE
C5	L0D3-100	3	34	FALSE
D5	L0D4-100	3	34	FALSE
A6	L0D5-100	3	34	FALSE
B6	L1D1-100	3	34	FALSE
C6	L1D2-100	3	34	FALSE
D6	blank_water	2	34	FALSE
