Time	Temp_C	blank_water_1	L0J4-300_1	L0J1-300_2	L0J5-300_2	L0J1-300_3	L0J5-300_3	L0J1-300_1	L0J5-300_1	L0J2-300_2	L1J1-300_2	L0J2-300_3	L1J1-300_3	L0J2-300_1	L1J1-300_1	L0J3-300_2	L1J2-300_2	L0J3-300_3	L1J2-300_3	L0J3-300_1	L1J2-300_1	L0J4-300_2	blank_media_1	L0J4-300_3	blank_water_2
0:00:00	25.2	0.036	0.040	0.038	0.038	0.038	0.037	0.039	0.038	0.039	0.040	0.037	0.042	0.038	0.039	0.038	0.039	0.037	0.037	0.036	0.042	0.038	0.035	0.040	0.040
0:14:57	25.2	0.036	0.039	0.037	0.039	0.039	0.038	0.039	0.039	0.039	0.041	0.037	0.042	0.038	0.039	0.038	0.040	0.037	0.037	0.037	0.039	0.039	0.036	0.040	0.040
0:29:59	25.2	0.036	0.040	0.038	0.039	0.040	0.039	0.039	0.039	0.039	0.042	0.037	0.042	0.038	0.040	0.039	0.040	0.037	0.037	0.037	0.039	0.039	0.036	0.040	0.040
0:45:00	25.2	0.036	0.040	0.038	0.039	0.040	0.039	0.039	0.039	0.039	0.042	0.037	0.043	0.038	0.041	0.039	0.040	0.038	0.038	0.037	0.039	0.039	0.036	0.040	0.040
1:00:01	25.2	0.036	0.040	0.038	0.040	0.040	0.040	0.039	0.039	0.039	0.042	0.038	0.043	0.038	0.041	0.039	0.040	0.038	0.038	0.037	0.039	0.039	0.036	0.040	0.040
1:15:02	25.2	0.036	0.040	0.039	0.040	0.040	0.040	0.040	0.040	0.039	0.043	0.038	0.043	0.038	0.042	0.039	0.041	0.038	0.038	0.037	0.039	0.039	0.036	0.040	0.040
1:30:03	25.2	0.036	0.040	0.039	0.041	0.040	0.040	0.040	0.040	0.039	0.043	0.038	0.044	0.038	0.043	0.039	0.041	0.038	0.039	0.037	0.039	0.039	0.036	0.040	0.040
1:45:04	25.2	0.036	0.041	0.039	0.041	0.041	0.040	0.040	0.040	0.039	0.044	0.038	0.044	0.038	0.043	0.039	0.041	0.039	0.039	0.037	0.039	0.039	0.036	0.041	0.040
2:00:05	25.2	0.036	0.041	0.039	0.041	0.041	0.041	0.040	0.041	0.039	0.044	0.038	0.044	0.038	0.044	0.039	0.041	0.039	0.039	0.037	0.039	0.040	0.036	0.041	0.040
2:15:06	25.2	0.036	0.042	0.040	0.042	0.042	0.041	0.041	0.041	0.040	0.045	0.038	0.045	0.038	0.045	0.040	0.041	0.039	0.039	0.038	0.039	0.040	0.036	0.041	0.040
