Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0P4-100 1 0.0263238785848 0.730711164771 0.0756082184784 2.3805419135 -3.61626386409 0.0716427251577 0.0795737117992 0.0716426522894 0.0795737846674
L0P1-100 2 0.0175641420987 0.755857834817 0.0688325093052 2.07760672196 -3.70390142103 0.0657672863548 0.0718977322556 0.0657672300295 0.0718977885808
L0P5-100 2 -0.0492923221573 0.835751683401 0.0560842033395 0.097253230617 -3.50647802272 0.0534001047436 0.0587683019354 0.0534000554218 0.0587683512573
L0P1-100 3 0.00439139505997 0.784699372432 0.063143021295 1.6397079559 -3.62871665196 0.0603604354073 0.0659256071828 0.0603603842757 0.0659256583144
L0P5-100 3 -0.0199204323957 0.79055680443 0.056982710377 0.745739210243 -3.48108890912 0.0541299132065 0.0598355075475 0.0541298607847 0.0598355599693
L0P1-100 1 0.0337748780138 0.708146572155 0.0763485376421 2.6992696233 -3.67229893972 0.0724848190491 0.0802122562351 0.0724847480511 0.0802123272332
L0P5-100 1 -0.0354830029374 0.84014103595 0.0567207726095 0.595064721715 -3.6357056434 0.0543697295644 0.0590718156546 0.0543696863626 0.0590718588563
L0P2-100 2 0.00964401327209 0.780327223771 0.062774652881 1.89745869544 -3.73000269693 0.0602492008385 0.0653001049235 0.0602491544319 0.0653001513301
L1P1-200 2 0.00959358904854 0.808710805041 0.0540585626362 2.33543143734 -3.61473462716 0.05175268045 0.0563644448224 0.0517526380781 0.0563644871943
L0P2-100 3 0.00908574523298 0.763759311156 0.066904809432 1.86692980682 -3.68610287294 0.0639013959507 0.0699082229134 0.0639013407612 0.0699082781028
L1P1-200 3 0.0232176331091 0.779332973157 0.0548258411917 3.03911052809 -4.19134870837 0.0534070064168 0.0562446759666 0.0534069803449 0.0562447020385
L0P2-100 1 -0.0116599797593 0.774687691362 0.0531038848156 1.29203493937 -3.52637264296 0.0504809552354 0.0557268143958 0.0504809070376 0.0557268625936
L1P1-200 1 0.0092386521214 0.789628351172 0.0525718782733 2.48584380289 -3.74451039286 0.0505040430488 0.0546397134978 0.0505040050512 0.0546397514955
L0P3-100 2 0.0174963666836 0.767813737986 0.0622255585133 2.07823609498 -3.79500712614 0.0598614446085 0.064589672418 0.0598614011666 0.06458971586
L1P2-200 2 0.0171028176923 0.808938653921 0.0586810801393 3.04687010034 -4.03698228296 0.0569794367842 0.0603827234943 0.0569794055156 0.060382754763
L0P3-100 3 0.0166322559399 0.759484652331 0.0670107518166 2.05733357142 -3.66110082029 0.0639949528697 0.0700265507634 0.0639948974526 0.0700266061805
L1P2-200 3 0.0105632616248 0.818624896471 0.0553654019738 2.85442610444 -3.76897688104 0.053299910524 0.0574308934236 0.0532998725694 0.0574309313782
L0P3-100 1 0.0264741225459 0.691095981899 0.0717336779495 2.59915821612 -3.82742088352 0.0684106445919 0.075056711307 0.0684105835292 0.0750567723697
L1P2-200 1 0.0248300629423 0.75240921121 0.0595586321585 3.26571952829 -3.82603620449 0.0572006262366 0.0619166380803 0.0572005829069 0.06191668141
L0P4-100 2 0.0300008877822 0.734033609087 0.0719176374871 2.78277452403 -3.53200264164 0.0680352910914 0.0757999838827 0.0680352197511 0.0758000552231
L0P4-100 3 0.0127948257202 0.737255076107 0.0617373222928 1.88610269487 -3.75858624472 0.0591135624046 0.0643610821809 0.0591135141915 0.064361130394
