Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L1J2-100 1 0.058115188426 0.646274698402 0.0763638463261 5.65341490319 -4.49203107092 0.0732983805969 0.0794293120554 0.0732983242672 0.0794293683851
L0J1-100 2 0.05778459795 0.588791169965 0.0845808561482 4.19354976742 -4.38249688553 0.0808793492415 0.0882823630549 0.0808792812242 0.0882824310722
L1J3-100 2 0.0547377761082 0.760674361791 0.0794087884292 4.40755917418 -4.50006499945 0.076944404298 0.0818731725603 0.0769443590135 0.0818732178448
L0J1-100 3 0.0571774903442 0.631236977143 0.0901888411049 3.98486337456 -4.08610967019 0.0853321042527 0.0950455779571 0.0853320150073 0.0950456672024
L1J3-100 3 0.0604765831393 0.638123082538 0.0848824489299 4.52929676093 -4.00707151007 0.079588607538 0.0901762903219 0.0795885102606 0.0901763875993
L0J1-100 1 0.0582780402171 0.528668079654 0.0835981150165 4.14799265083 -4.53086389671 0.0798529709486 0.0873432590843 0.0798529021294 0.0873433279035
L1J3-100 1 0.0594083405753 0.696678064201 0.085519532257 4.51349917924 -4.6095270484 0.0827978545755 0.0882412099386 0.0827978045631 0.0882412599509
L0J2-100 2 0.0513518857699 0.865148343608 0.0986011212168 3.85228191096 -4.69779034331 0.0963344825873 0.100867759846 0.0963344409365 0.100867801497
L2J1-100 2 0.0541789116647 0.969763122427 0.104938492225 4.21195799878 -4.73656407911 0.102814892029 0.10706209242 0.102814853007 0.107062131442
L0J2-100 3 0.0545644672284 0.812712913788 0.10621810119 3.94605614754 -5.01284195905 0.104345057609 0.108091144772 0.10434502319 0.10809117919
L2J1-100 3 0.0543194919377 0.892897775645 0.0963670664465 4.18580274341 -4.78217285736 0.0943400039062 0.0983941289869 0.0943399666578 0.0983941662353
L0J2-100 1 0.0538207588323 0.71570147849 0.0880254835131 3.95356180995 -4.69423772497 0.0855153653855 0.0905356016406 0.0855153192607 0.0905356477655
L2J1-100 1 0.0543745810086 0.88579452294 0.0966525188497 4.30992907718 -4.87557266317 0.0947382504344 0.0985667872651 0.0947382152586 0.0985668224408
L1J1-100 2 0.0589984593645 0.911806450915 0.103461180676 4.36887701759 -4.85252053577 0.10140020632 0.105522155032 0.101400168449 0.105522192904
L2J2-100 2 0.046625510727 1.59894521158 0.0822107618621 8.91577185715 -5.72996163353 0.0769347069051 0.0874868168192 0.0769346099546 0.0874869137697
L1J1-100 3 0.0561405623489 0.920135897532 0.108337956027 4.40651484107 -4.66234636711 0.105753630084 0.11092228197 0.105753582596 0.110922329458
L2J2-100 3 0.0475555141759 1.52027073586 0.0881404688315 8.72234034308 -5.2930211569 0.0820921248897 0.0941888127734 0.0820920137479 0.0941889239152
L1J1-100 1 0.0585972995568 0.859274944428 0.108717878645 4.57649067326 -5.04110697227 0.10680705474 0.110628702551 0.106807019627 0.110628737663
L2J2-100 1 0.0493737436225 1.31936819067 0.081398082147 8.44252414242 -5.20614074999 0.0763929370734 0.0864032272206 0.076392845101 0.0864033191931
L1J2-100 2 0.0537303033221 0.748672399423 0.0771827329082 5.41458466497 -4.84934103682 0.075234074668 0.0791313911484 0.0752340388603 0.0791314269561
L1J2-100 3 0.0541660549114 0.718864663068 0.0733874341087 5.26451181516 -4.76445166475 0.0713181273163 0.0754567409012 0.0713180892916 0.0754567789259
