Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0D4-100 1 0.0415102334416 0.142370083521 0.00751694200807 11.2680179388 -6.69807104026 0.0074146328292 0.00761925118694 0.00741463094921 0.00761925306693
L0D1-100 2 0.0387405188088 0.17274045703 0.00907235847386 11.0643657417 -6.2859035559 0.00891747705464 0.00922723989307 0.00891747420861 0.00922724273911
L0D5-100 2 0.0413389386781 0.162982421401 0.00918444665867 12.3061777862 -6.33002458047 0.00901992921714 0.0093489641002 0.00901992619403 0.0093489671233
L0D1-100 3 0.0417376428437 0.173744237599 0.00960363710335 10.1802342657 -6.31236092843 0.00944754638413 0.00975972782257 0.00944754351587 0.00975973069082
L0D5-100 3 0.0413706058994 0.145912927747 0.0101917856987 12.6172446344 -5.95741392771 0.00989395258113 0.0104896188163 0.00989394710828 0.0104896242892
L0D1-100 1 0.0419703431258 0.165163659994 0.00905100350422 11.8961224812 -6.38570648467 0.00890355863737 0.00919844837107 0.00890355592799 0.00919845108045
L0D5-100 1 0.0412076573677 0.174362430721 0.00985529158354 13.1098116821 -6.20328627806 0.00966358139143 0.0100470017756 0.00966357786865 0.0100470052984
L0D2-100 2 0.0408212701365 0.137802613092 0.0072006463919 12.4364220426 -6.46719944313 0.00707025291836 0.00733103986545 0.0070702505223 0.00733104226151
L1D1-100 2 0.0416691488251 0.223082256829 0.00947727964295 18.8506798813 -6.52347049449 0.00937072709666 0.00958383218925 0.00937072513869 0.00958383414721
L0D2-100 3 0.0392876558931 0.136804818489 0.00687120506569 12.2953430464 -6.55175360826 0.00675547648385 0.00698693364752 0.00675547435728 0.0069869357741
L1D1-100 3 0.0383095183792 0.267734172845 0.00983414142329 19.5232174905 -6.36003319143 0.00964399480847 0.0100242880381 0.00964399131442 0.0100242915322
L0D2-100 1 0.0386486983039 0.152932309073 0.00677300105069 13.2268641094 -6.40985964351 0.00665634575708 0.0068896563443 0.00665634361348 0.0068896584879
L1D1-100 1 0.0380954066456 0.282862545669 0.00889056550575 20.0 -6.4078166783 0.00858065311655 0.00920047789495 0.00858064742173 0.00920048358976
L0D3-100 2 0.0408915682874 0.149603283643 0.00846573628971 12.3224434757 -6.37357189385 0.00830661705155 0.00862485552787 0.00830661412765 0.00862485845178
L1D2-100 2 0.0402500441834 0.207597924115 0.0087807117647 16.364872204 -6.31968634616 0.00866055553984 0.00890086798955 0.0086605533319 0.00890087019749
L0D3-100 3 0.0401366873716 0.158401696077 0.0089069865397 12.5526464753 -6.27279211402 0.00873064130004 0.00908333177937 0.0087306380596 0.00908333501981
L1D2-100 3 0.0386819988234 0.277021659025 0.0095239168165 18.4793843422 -6.29908578187 0.00934453808316 0.00970329554984 0.00934453478697 0.00970329884603
L0D3-100 1 0.0399960935822 0.160619904171 0.0092009418981 13.6397819043 -6.24737796873 0.00901390575382 0.00938797804238 0.00901390231692 0.00938798147928
L1D2-100 1 0.0404286883046 0.239314216426 0.0100030707306 17.522766221 -6.33314959211 0.00988588788134 0.0101202535798 0.00988588572804 0.0101202557331
L0D4-100 2 0.0404455897034 0.147468911824 0.00808721404214 12.4008221018 -6.47125717724 0.00794938750489 0.0082250405794 0.00794938497225 0.00822504311204
L0D4-100 3 0.042247853362 0.141376614258 0.00774596556272 12.5436612947 -6.5645408979 0.0076202718727 0.00787165925274 0.007620269563 0.00787166156243
